text,label
Kotak Bank Notice: Unused rewards points expiring today! Claim your cash back of $273 now: http://verify-appleid-support.com,1
Don't forget to submit the report before the end of the day. Have a great weekend!,0
Action Required: Unusual sign-in attempt detected on your Paytm account. Secure it now: http://icicibank-secure.org,1
"Hi, are you free for a call sometime this afternoon? Need to discuss the budget.",0
Security Alert: A login attempt was made on your TrustWallet from Bangalore. Confirm seed phrase: http://metamask-restore-wallet.xyz,1
Thanks for your subscription! Your receipt for order #123754 is attached. Netflix.,0
"Dear customer, update your PAN/Aadhaar card for SBI account to avoid deactivation: http://netflix-billing-update.xyz",1
"Dear employee, your monthly payslip for May is now available on the HR portal.",0
Make money online with zero investment! Earn Rs. 38332 every week. Sign up now: http://yono-sbi-alert.online,1
"Hi, did you get a chance to review the presentation deck I shared yesterday?",0
ICICI Bank Notice: Unused rewards points expiring today! Claim your cash back of Rs. 42736 now: http://telegram-job-group.link,1
"Your appointment is confirmed. If you need to reschedule, please contact our help desk.",0
"Dear customer, your Kotak Bank card has been blocked. Click here to reactivate: http://netflix-billing-update.xyz",1
"Dear Customer, welcome to NetBanking. Have a pleasant experience using our online services.",0
Verify your TrustWallet wallet recovery phrase within 24 hours to avoid losing access: http://metamask-restore-wallet.xyz,1
Thanks for ordering from FedEx! Your item has been shipped and will arrive tomorrow.,0
Action Required: Unusual sign-in attempt detected on your Paytm account. Secure it now: http://netflix-billing-update.xyz,1
"Hello, this is to inform you that your delivery from FedEx will arrive today between 2 PM and 5 PM.",0
Verify your Blockchain wallet recovery phrase within 24 hours to avoid losing access: http://whatsapp-job-scam.xyz,1
Your monthly credit card statement for SBI is now available online. Log in to view it.,0
DHL Express: Your shipment from Chicago is on hold. Resolve delivery issues at http://telegram-job-group.link,1
"Hey Rajesh, happy birthday! Hope you have an awesome day and a great year ahead.",0
You have won a lottery prize of $798 from FedEx! Contact customer service on WhatsApp to claim: http://hdfc-security-login.info,1
"Dear Customer, welcome to NetBanking. Have a pleasant experience using our online services.",0
Urgent: Verification required for your FedEx subscription. Click here to update your billing details: http://hdfc-security-login.info,1
Hey! Are we still meeting for lunch today at 6:15 PM? Let me know.,0
Security Alert: A login attempt was made on your Coinbase from Bangalore. Confirm seed phrase: http://paytm-wallet-update.xyz,1
"Hello, this is to inform you that your delivery from Microsoft will arrive today between 2 PM and 5 PM.",0
Your India Post account has been compromised. Log in immediately to reset your password: http://paytm-wallet-update.xyz,1
Don't forget to submit the report before the end of the day. Have a great weekend!,0
FedEx Alert: Address correction required for parcel delivery. Reschedule at http://verify-appleid-support.com,1
"Your appointment is confirmed. If you need to reschedule, please contact our help desk.",0
Jackpot Alert: You are the winner of $568 cash! Click to transfer to your bank account: http://sbi-kyc-verify.net,1
"Hi, just reminding you that our weekly status meeting starts in 10 minutes.",0
"Dear customer, update your PAN/Aadhaar card for Axis Bank account to avoid deactivation: http://hdfc-security-login.info",1
"Hi there, your package from USPS has been delivered to your front porch. Thank you.",0
Jackpot Alert: You are the winner of $128 cash! Click to transfer to your bank account: http://verify-appleid-support.com,1
"Hey, just checking in to see how your mom is doing after the surgery.",0
"Dear User, your ICICI Bank account will be suspended. To prevent deactivation, update your KYC immediately at http://indiapost-delivery-fees.xyz",1
"Hey Jessica, happy birthday! Hope you have an awesome day and a great year ahead.",0
USPS Update: Package delivery failed due to unpaid customs fee of Rs. 9268. Update details: http://usps-address-update-fees.net,1
Thanks for your subscription! Your receipt for order #610020 is attached. Amazon.,0
FedEx Alert: Address correction required for parcel delivery. Reschedule at http://paytm-wallet-update.xyz,1
Don't forget to submit the report before the end of the day. Have a great weekend!,0
