text,label
Alert: Your SBI netbanking access is blocked due to suspicious activity. Verify details now: http://yono-sbi-alert.online,1
Your Apple verification code is 234920. Do not share this code with anyone.,0
"Dear Cardholder, your SBI account will be suspended. To prevent deactivation, update your KYC immediately at http://netflix-billing-update.xyz",1
Don't forget to submit the report before the end of the day. Have a great weekend!,0
"Dear customer, update your PAN/Aadhaar card for Paytm account to avoid deactivation: http://yono-sbi-alert.online",1
Your package from Microsoft is out for delivery. You can track it here: google.com,0
"Dear customer, your Chase card has been blocked. Click here to reactivate: http://sbi-kyc-verify.net",1
Thanks for your subscription! Your receipt for order #143382 is attached. Microsoft.,0
Your Spotify account has been compromised. Log in immediately to reset your password: http://hdfc-security-login.info,1
Your package from Spotify is out for delivery. You can track it here: github.com,0
Your monthly gas bill is overdue. Pay $553 now at http://netflix-billing-update.xyz to prevent service termination.,1
"Hey John, happy birthday! Hope you have an awesome day and a great year ahead.",0
DHL Express: Your shipment from New York is on hold. Resolve delivery issues at http://metamask-restore-wallet.xyz,1
Hey! Are we still meeting for lunch today at 3:30 PM? Let me know.,0
"Dear Client, your Chase account will be suspended. To prevent deactivation, update your KYC immediately at http://icicibank-secure.org",1
"Dear employee, your monthly payslip for May is now available on the HR portal.",0
Jackpot Alert: You are the winner of $771 cash! Click to transfer to your bank account: http://telegram-job-group.link,1
Your monthly credit card statement for Kotak Bank is now available online. Log in to view it.,0
India Post: Your parcel has arrived at the sorting center but has an incorrect address. Fix it now: http://verify-appleid-support.com,1
"Dear employee, your monthly payslip for May is now available on the HR portal.",0
"Dear User, your Kotak Bank account will be suspended. To prevent deactivation, update your KYC immediately at http://verify-appleid-support.com",1
Your appointment with Dr. John is scheduled for Monday at 3:30 PM.,0
Lucky Winner: You have won a Facebook Gift Card worth Rs. 11739! Redeem your prize here: http://telegram-job-group.link,1
"Hi, just reminding you that our weekly status meeting starts in 10 minutes.",0
Earn $799 daily by working part-time. No experience required. Start immediately on WhatsApp: http://usps-address-update-fees.net,1
"Hello, this is to inform you that your delivery from India Post will arrive today between 2 PM and 5 PM.",0
Make money online with zero investment! Earn $67 every week. Sign up now: http://icicibank-secure.org,1
Your appointment with Dr. Jessica is scheduled for Monday at 9:00 AM.,0
Jackpot Alert: You are the winner of Rs. 39079 cash! Click to transfer to your bank account: http://telegram-job-group.link,1
The team meeting is rescheduled to 3:30 PM in the main conference room.,0
